CaseID	VehicleNumber	GVEMake	GVEModel	GVEYear	GVEBodyType	GVEVehicleClass	GVECurbWeight	GVEWeightSource	GVECargoWeight	GVECargoSource	GVEVIN	GVESpecialUse	GVEInspection	GVEInspectionDate	GVEPARSevCode	GVERESSevCode	VINMake	VINModel	VINYear	Series	VINBodyType	Roof1	Roof2	Roof3	FrontWheelDrive	FourWheelDrive	GVERestraintType	Carburetion	FuelType	VINWeight	VehicleType	WheelConfig	DayRunningLights	BaseWeight	GVEMotorcycleDisplacement	GVETravelSpeed	GVEPostedSpeed	DriverPresent	PARAlcoholPresent	PARAlcoholTest	PARAlcoholTestResult	PARTestDelay	PARTestSource	PARDrugsPresent	ZipCode	EthnicOrigin	CMVCrashes	CMVViolations	NonCMVCrashes	NonCMVViolations	TotalCrashes	GVETotalViolations	PrevViolations	UnkTypeCrashes	MCMIScrashes	MCMIScmvViolations	MCMIScmvNonViolations	PSU	PSUStrata	RATWeight
329005981	1	35	43	1988	4	1	1000	3	0	1	JN1PB21S0J	0	2	2003-06-01	4	4	NISS	SEN	1988	888	4D	None/not available	Manual sun/ moon roof	Unknown	Y	N	Active (manual) belts	2	Gas	0	Passenger Vehicle	999	Not available	2139	88888887	9999	80	1	0	0	0	33:38	4	0	08755	1	98	98	98	98	98	98	98	98	98	98	98	4	3	22.769
329005981	2	37	33	1989	2	2	1158	3	0	1	JHMBA4147K	0	2	2003-06-01	1	2	HOND	PSI	1989	888	CP	None/not available	Unknown	Unknown	Y	N	Passive (automatic) belts	F	Gas	0	Passenger Vehicle	999	Not available	2590	88888887	9999	80	1	0	96	9999	97:97	0	0	08753	3	98	98	98	98	98	98	98	98	98	98	98	4	3	22.769
329005981	3	6	41	1999	4	4	1556	3	0	1	2C3HD46J1X	0	2	2003-06-01	1	5	CHRY	CIX	1999	888	4D	None/not available	Unknown	Unknown	Y	N	Dual front air bags/active belts	F	Gas	0	Passenger Vehicle	999	Not available	3474	88888887	9999	80	1	0	96	9999	97:97	0	0	08005	1	88	88	88	88	88	0	88	88	88	88	88	4	3	22.769
329005981	4	7	482	1995	31	31	2135	3	227	2	1B7HF16Y9S	0	2	2003-06-01	0	0	DODG	RPC	1995	150	PK	None/not available	Unknown	Unknown	8	8	Driver front air bag/passenger side active belt	888	Gas	2	Truck	44	Not available	9999	88888887	9999	80	1	0	96	9999	97:97	0	0	08723	1	88	0	88	1	88	1	14	88	88	88	88	4	3	22.769
329005981	5	13	1	2000	4	3	1745	3	0	1	1LNHM97VXY	0	2	2003-06-01	1	5	LINC	CON	2000	888	4D	None/not available	Power sun/moon roof	Unknown	Y	N	Dual air bags front and sides/active belts	F	Gas	0	Passenger Vehicle	999	Not available	3848	88888887	9999	80	1	0	96	9999	97:97	0	0	08723	1	98	98	98	98	98	98	98	98	98	98	98	4	3	22.769
329005981	6	38	882	2000	61	60	3629	99	999999	0	JALC4B147Y	88	3	2003-06-01	0	0	ISU	NPR	2000	NPR	TB	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	4	Truck	42	Unknown	9999	88888887	9999	80	1	0	97	9999	99:99	1	9	08721	1	88	1	88	1	88	2	1	88	0	98	98	4	3	22.769
329005982	1	34	34	2001	4	3	1470	3	0	1	WBAAN37411	0	2	2003-06-01	2	2	BMW	325	2001	888	4D	None/not available	Power sun/moon roof	Unknown	N	N	Dual air bags front, head, and side/active belts w	F	Gas	0	Passenger Vehicle	999	Optional	3241	88888887	9999	80	1	0	96	9999	97:97	0	0	07722	1	98	98	98	98	98	98	98	98	98	98	98	4	3	34.364
329005982	2	87	881	2003	68	68	7711	99	26288	99	1XP5DB9X13	88	3	2003-06-01	0	0	PTRB	CON	2003	379	DS	Unknown	Unknown	Unknown	8	8	Unknown	888	Diesel	8	Truck	64	Unknown	9999	88888887	9999	80	1	0	97	9999	99:99	0	0	07751	1	88	0	88	4	88	4	2	88	0	12	1	4	3	34.364
329006004	1	35	43	2002	4	1	1246	3	0	1	3N1CB51DX2	0	2	2003-06-01	3	3	NISS	XGX	2002	888	4D	None/not available	Unknown	Unknown	Y	N	Dual front air bags/active belts	F	Gas	0	Passenger Vehicle	999	Not available	2441	88888887	9999	80	1	0	96	9999	97:97	0	0	08527	1	88	0	88	3	88	3	7	88	88	88	88	4	3	53.409
329006004	2	18	7	1993	4	3	1262	3	0	1	3G4AG55N9P	0	2	2003-06-01	2	2	BUIC	CSP	1993	888	4D	None/not available	Unknown	Unknown	Y	N	Driver front air bag/passenger side passive belt	F	Gas	0	Passenger Vehicle	999	Not available	2870	88888887	9999	80	1	0	96	9999	97:97	0	0	08527	1	88	0	88	1	88	1	0	88	88	88	88	4	3	53.409
