CaseID	Stratum	EventSequence	VehicleNumber	ClassVehicle	DamageArea	EVEObjectContact	ClassVehicle2	DamageArea2	PSU	PSUStrata	RATWeight
335006865	B	7	2	68	N	35	0	N	11	6	21.198
335006865	B	8	2	68	F	42	0	0	11	6	21.198
335006931	S	1	1	60	R	31	0	N	11	6	68.691
335006931	S	2	1	60	T	41	0	0	11	6	68.691
335007048	B	1	1	14	L	2	68	R	11	6	21.198
335007048	B	2	1	14	B	2	68	R	11	6	21.198
335007108	S	1	1	68	F	44	0	0	11	6	125.127
335007108	S	2	1	68	F	42	0	0	11	6	125.127
335007109	S	1	3	68	F	2	3	B	11	6	125.127
335007109	S	2	2	3	F	1	31	B	11	6	125.127
335007109	S	3	1	31	R	56	0	0	11	6	125.127
335007109	S	4	3	68	F	2	3	L	11	6	125.127
335007154	B	1	1	20	F	2	68	B	11	6	21.198
335007248	S	1	1	60	F	42	0	0	11	6	125.127
336006304	B	1	1	2	F	2	60	B	13	6	41.321
336006328	E	1	1	21	F	2	60	L	13	6	243.914
336006368	S	1	1	2	R	2	68	F	13	6	243.914
337006085	S	1	1	68	R	73	0	0	41	7	111.86
337006162	K	1	1	1	R	2	68	L	41	7	111.86
337006162	K	2	1	1	T	31	0	N	41	7	111.86
337006282	J	1	1	3	L	2	68	F	41	7	111.86
337006282	J	2	1	3	L	2	68	L	41	7	111.86
337006282	J	3	1	3	R	54	0	0	41	7	111.86
337006282	J	4	1	3	U	54	0	0	41	7	111.86
337006282	J	5	1	3	F	61	0	0	41	7	111.86
337006282	J	6	1	3	F	2	68	L	41	7	111.86
337006322	S	1	1	68	F	2	68	B	41	7	69.365
337006322	S	2	1	68	R	2	68	L	41	7	69.365
337006322	S	3	1	68	N	33	0	N	41	7	69.365
337006323	S	1	1	68	R	31	0	N	41	7	69.365
337006522	S	1	1	4	L	2	68	B	41	7	32.101
337006545	S	1	5	68	F	4	68	B	41	7	32.101
337006545	S	2	5	68	N	35	0	N	41	7	32.101
337006545	S	3	5	68	N	33	0	N	41	7	32.101
337006545	S	4	4	68	F	1	1	B	41	7	32.101
337006545	S	5	1	1	F	3	68	B	41	7	32.101
337006545	S	6	3	68	F	2	68	B	41	7	32.101
337006545	S	7	4	68	N	33	0	N	41	7	32.101
337006565	S	1	2	68	R	31	0	N	41	7	69.365
337006565	S	2	2	68	F	1	31	R	41	7	69.365
337006642	K	1	1	20	F	2	68	R	41	7	111.86
337006662	S	1	1	68	L	31	0	N	41	7	0
338007208	B	1	1	14	R	2	14	F	43	9	59.006
338007208	B	2	1	14	T	31	0	N	43	9	59.006
338007208	B	3	4	68	L	1	14	B	43	9	59.006
338007208	B	4	3	2	F	88	0	0	43	9	59.006
338007286	S	1	1	19	R	6	60	R	43	9	127.503
338007286	S	2	6	60	L	2	14	F	43	9	127.503
338007286	S	3	2	14	L	3	2	F	43	9	127.503
338007286	S	4	3	2	B	4	4	F	43	9	127.503
338007286	S	5	4	4	B	5	3	F	43	9	127.503
338007286	S	6	6	60	F	56	0	0	43	9	127.503
338007286	S	7	6	60	R	31	0	N	43	9	127.503
338007402	B	1	1	4	R	2	60	F	43	9	59.006
338007402	B	2	1	4	R	2	60	L	43	9	59.006
338007442	S	1	1	68	F	51	0	0	43	9	0
338007442	S	2	1	68	R	56	0	0	43	9	0
338007508	S	1	2	68	L	31	0	N	43	9	127.503
338007508	S	2	2	68	B	1	30	F	43	9	127.503
338007508	S	3	1	30	F	56	0	0	43	9	127.503
338007582	S	1	1	68	R	31	0	N	43	9	127.503
339006191	S	1	1	15	R	2	68	L	45	8	131.148
339006191	S	2	1	15	L	54	0	0	45	8	131.148
339006251	S	1	1	2	F	2	68	B	45	8	131.148
339006276	S	1	1	68	L	31	0	N	45	8	131.148
339006316	S	1	1	68	T	31	0	N	45	8	131.148
339006351	J	1	1	3	F	2	68	B	45	8	211.494
339006411	S	1	1	28	R	2	68	L	45	8	211.494
339006431	S	1	1	3	R	2	68	L	45	8	131.148
339006431	S	2	1	3	L	54	0	0	45	8	131.148
339006431	S	3	1	3	L	54	0	0	45	8	131.148
339006451	S	1	1	68	L	31	0	N	45	8	131.148
339006451	S	2	1	68	T	54	0	0	45	8	131.148
339006491	S	1	1	3	F	2	68	F	45	8	60.692
339006491	S	2	1	3	T	2	68	U	45	8	60.692
339006491	S	3	2	68	F	56	0	0	45	8	60.692
339006551	S	1	1	60	R	56	0	0	45	8	211.494
339006551	S	2	1	60	T	31	0	N	45	8	211.494
339006731	S	1	1	68	F	72	0	0	45	8	211.494
339006771	S	1	1	68	L	31	0	N	45	8	211.494
339006771	S	2	1	68	T	54	0	0	45	8	211.494
339006811	S	1	1	2	F	2	60	F	45	8	131.148
339006811	S	2	1	2	B	42	0	0	45	8	131.148
339006875	K	1	1	3	F	50	0	0	45	8	211.494
339006875	K	2	1	3	F	54	0	0	45	8	211.494
339006875	K	3	1	3	L	54	0	0	45	8	211.494
339006875	K	4	1	3	R	2	68	L	45	8	211.494
339006876	S	1	1	2	F	2	68	B	45	8	131.148
339006876	S	2	1	2	R	2	68	L	45	8	131.148
339006915	K	1	1	31	F	2	31	B	45	8	211.494
339006915	K	2	4	1	F	5	20	B	45	8	211.494
339006915	K	3	3	3	B	5	20	F	45	8	211.494
339006915	K	4	3	3	F	6	1	B	45	8	211.494
339006915	K	5	5	20	F	6	1	B	45	8	211.494
339006915	K	6	1	31	B	6	1	F	45	8	211.494
339006915	K	7	4	1	B	8	68	R	45	8	211.494
339006915	K	8	5	20	L	8	68	R	45	8	211.494
339006915	K	9	4	1	F	8	68	R	45	8	211.494
339006915	K	10	4	1	R	6	1	L	45	8	211.494
339006915	K	11	6	1	F	8	68	R	45	8	211.494
339006915	K	12	1	31	L	6	1	R	45	8	211.494
339006915	K	13	7	2	B	8	68	F	45	8	211.494
339006935	S	1	1	14	L	2	68	R	45	8	131.148
339006935	S	2	1	14	F	70	0	0	45	8	131.148
339006935	S	3	1	14	L	31	0	N	45	8	131.148
339006935	S	4	1	14	T	70	0	0	45	8	131.148
339006971	S	1	1	30	F	2	68	F	45	8	60.692
339006971	S	2	1	30	R	56	0	0	45	8	60.692
339006971	S	3	2	68	F	54	0	0	45	8	60.692
339006971	S	4	2	68	R	31	0	N	45	8	60.692
339006971	S	5	2	68	F	61	0	0	45	8	60.692
339007031	S	1	1	2	R	2	68	L	45	8	131.148
340006566	S	1	3	68	N	34	0	N	48	9	426.863
340006566	S	2	1	30	L	3	68	R	48	9	426.863
340006566	S	3	1	30	R	2	2	F	48	9	426.863
340006566	S	4	1	30	R	2	2	L	48	9	426.863
340006651	A	1	1	31	F	2	2	F	48	9	197.543
340006651	A	2	2	2	B	3	60	F	48	9	197.543
340006651	A	3	2	2	L	63	0	0	48	9	197.543
340006651	A	4	3	60	F	1	31	B	48	9	197.543
340006651	A	5	1	31	T	31	0	N	48	9	197.543
340006651	A	6	3	60	F	60	0	0	48	9	197.543
340006666	S	1	2	68	L	3	78	R	48	9	426.863
340006666	S	2	2	68	N	34	0	N	48	9	426.863
340006666	S	3	1	1	F	54	0	0	48	9	426.863
340006666	S	4	1	1	R	2	68	F	48	9	426.863
340006666	S	5	1	1	R	31	0	N	48	9	426.863
340006666	S	6	1	1	T	2	68	F	48	9	426.863
340006826	S	1	1	68	T	31	0	N	48	9	426.863
340006826	S	2	1	68	T	51	0	0	48	9	426.863
340006946	S	1	1	1	L	2	68	R	48	9	688.372
340006946	S	2	1	1	L	2	68	F	48	9	688.372
340006946	S	3	1	1	B	54	0	0	48	9	688.372
340006946	S	4	1	1	R	2	68	F	48	9	688.372
340006946	S	5	1	1	R	2	68	L	48	9	688.372
340007050	S	1	1	68	L	31	0	N	48	9	688.372
340007111	S	1	1	2	B	3	68	F	48	9	197.543
340007111	S	2	1	2	F	4	68	B	48	9	197.543
340007111	S	3	4	68	F	2	31	B	48	9	197.543
341000001	S	1	1	1	L	3	68	R	49	7	50.061
341000001	S	2	1	1	L	3	68	F	49	7	50.061
341000001	S	3	1	1	F	2	31	R	49	7	50.061
341000021	S	1	1	31	R	2	68	F	49	7	50.061
341006428	S	1	1	31	L	2	68	F	49	7	50.061
342006370	B	1	1	20	R	2	68	F	73	5	60.371
342006370	B	2	1	20	R	2	68	L	73	5	60.371
342006370	B	3	1	20	F	59	0	0	73	5	60.371
342006370	B	4	2	68	F	57	0	0	73	5	60.371
342006370	B	5	2	68	U	61	0	0	73	5	60.371
342006545	S	1	6	68	F	54	0	0	73	5	356.366
342006545	S	2	6	68	F	1	4	B	73	5	356.366
342006545	S	3	1	4	F	2	4	B	73	5	356.366
342006545	S	4	1	4	F	54	0	0	73	5	356.366
342006545	S	5	2	4	F	3	31	B	73	5	356.366
342006545	S	6	6	68	F	2	4	L	73	5	356.366
342006545	S	7	2	4	R	3	31	B	73	5	356.366
342006545	S	8	3	31	F	4	31	B	73	5	356.366
342006545	S	9	4	31	F	5	5	B	73	5	356.366
342006545	S	10	6	68	F	54	0	0	73	5	356.366
342006565	B	1	1	2	F	2	68	B	73	5	60.371
342006605	K	1	1	1	L	2	68	F	73	5	195.635
342006605	K	2	1	1	L	2	68	R	73	5	195.635
342006605	K	3	1	1	R	45	0	0	73	5	195.635
342006605	K	4	2	68	F	45	0	0	73	5	195.635
342006605	K	5	2	68	L	31	0	N	73	5	195.635
342006805	S	1	1	68	F	64	0	0	73	5	60.371
343007095	S	1	1	2	L	2	68	R	72	4	58.657
343007095	S	2	1	2	L	63	0	0	72	4	58.657
343007095	S	3	1	2	T	31	0	N	72	4	58.657
344006655	S	1	1	68	F	72	0	0	72	4	32.201
344006775	S	1	1	68	F	73	0	0	72	4	9.937
344006835	S	1	1	68	F	2	60	B	72	4	58.657
344006835	S	2	2	60	F	3	68	B	72	4	58.657
344006835	S	3	3	68	F	4	68	B	72	4	58.657
344006915	B	1	3	68	F	1	20	B	72	4	9.937
344006915	B	2	3	68	F	2	21	B	72	4	9.937
344006915	B	3	1	20	L	2	21	B	72	4	9.937
344006915	B	4	1	20	R	64	0	0	72	4	9.937
344006915	B	5	1	20	L	4	60	F	72	4	9.937
344006999	S	1	1	68	F	2	68	B	72	4	58.657
344007015	S	1	1	68	9	54	0	0	72	4	9.937
344007015	S	2	1	68	N	34	0	N	72	4	9.937
344007355	S	1	2	68	F	1	3	B	72	4	58.657
345006548	S	1	1	31	F	2	68	R	74	4	34.412
345006608	S	1	1	21	L	2	68	F	74	4	34.412
345006608	S	2	1	21	F	57	0	0	74	4	34.412
345006609	K	1	1	3	F	2	68	F	74	4	18.891
345006609	K	2	1	3	L	50	0	0	74	4	18.891
345006609	K	3	1	3	R	2	68	L	74	4	18.891
345006610	J	1	1	30	L	2	60	F	74	4	18.891
345006610	J	2	1	30	F	2	60	L	74	4	18.891
345006648	S	1	1	2	R	2	60	V	74	4	34.412
345006648	S	2	1	2	R	2	60	L	74	4	34.412
345006708	S	1	1	31	F	2	60	F	74	4	5.83
345006708	S	2	2	60	F	45	0	0	74	4	5.83
345006708	S	3	2	60	F	57	0	0	74	4	5.83
345006709	S	1	1	3	L	3	68	F	74	4	5.83
345006709	S	2	1	3	L	3	68	F	74	4	5.83
345006709	S	3	1	3	R	50	0	0	74	4	5.83
345006709	S	4	1	3	R	50	0	0	74	4	5.83
345006709	S	5	1	3	R	50	0	0	74	4	5.83
345006709	S	6	1	3	R	56	0	0	74	4	5.83
345006709	S	7	1	3	T	31	0	N	74	4	5.83
345006709	S	8	1	3	9	57	0	0	74	4	5.83
345006709	S	9	1	3	T	63	0	0	74	4	5.83
345006709	S	10	1	3	R	51	0	0	74	4	5.83
345006709	S	11	1	3	T	63	0	0	74	4	5.83
345006709	S	12	3	68	U	61	0	0	74	4	5.83
345006709	S	13	1	3	B	2	1	L	74	4	5.83
345006709	S	14	3	68	F	2	1	L	74	4	5.83
345006748	C	1	1	30	F	2	60	L	74	4	34.412
345006748	C	2	1	30	R	2	60	L	74	4	34.412
345006748	C	3	2	60	T	31	0	N	74	4	34.412
345006868	S	1	1	60	F	50	0	0	74	4	34.412
345006868	S	2	1	60	L	31	0	N	74	4	34.412
345006868	S	3	1	60	T	56	0	0	74	4	34.412
345006948	S	1	1	3	R	5	68	L	74	4	34.412
345006948	S	2	1	3	L	4	68	F	74	4	34.412
345006948	S	3	3	21	R	4	68	L	74	4	34.412
345006948	S	4	1	3	F	3	21	F	74	4	34.412
345006948	S	5	1	3	F	54	0	0	74	4	34.412
345006948	S	6	2	3	R	3	21	L	74	4	34.412
345006948	S	7	2	3	F	1	3	B	74	4	34.412
345006948	S	8	2	3	L	54	0	0	74	4	34.412
345007028	A	1	1	20	L	2	60	F	74	4	5.83
345007029	S	1	1	1	R	3	68	F	74	4	34.412
345007029	S	2	1	1	B	2	1	F	74	4	34.412
347006372	S	1	1	1	R	2	68	F	75	11	127.287
347006372	S	2	1	1	L	2	68	L	75	11	127.287
347006452	S	1	1	14	F	2	68	F	75	11	67.552
347006512	S	1	1	4	B	2	68	F	75	11	127.287
347006512	S	2	1	4	F	50	0	0	75	11	127.287
347006714	S	1	1	30	F	2	68	B	75	11	127.287
347006973	S	1	1	1	F	2	68	F	75	11	24.292
347006976	K	1	1	14	B	2	60	F	75	11	127.287
347006976	K	2	1	14	T	31	0	N	75	11	127.287
348006225	S	1	2	68	L	31	0	N	76	12	64.704
348006225	S	2	2	68	T	54	0	0	76	12	64.704
348006225	S	3	2	68	N	33	0	N	76	12	64.704
348006225	S	4	1	3	B	54	0	0	76	12	64.704
348006225	S	5	1	3	N	33	0	N	76	12	64.704
348006225	S	6	2	68	9	56	0	0	76	12	64.704
348006226	B	1	3	68	L	61	0	0	76	12	64.704
348006226	B	2	1	14	F	88	0	0	76	12	64.704
348006226	B	3	1	14	B	56	0	0	76	12	64.704
348006226	B	4	2	4	F	88	0	0	76	12	64.704
348006445	S	1	1	68	L	31	0	N	76	12	179.933
348006445	S	2	1	68	T	56	0	0	76	12	179.933
348006785	A	1	1	4	F	2	68	F	76	12	64.704
348006785	A	2	1	4	T	31	0	N	76	12	64.704
348006785	A	3	1	4	9	45	0	0	76	12	64.704
348006785	A	4	2	68	F	57	0	0	76	12	64.704
348006785	A	5	2	68	F	51	0	0	76	12	64.704
348006785	A	6	2	68	U	60	0	0	76	12	64.704
348006908	S	1	1	68	T	31	0	N	76	12	179.933
348006908	S	2	1	68	T	56	0	0	76	12	179.933
349006463	S	1	1	30	N	38	0	N	78	12	260.223
349006463	S	2	1	30	F	2	68	L	78	12	260.223
349006502	S	1	1	60	L	50	0	0	78	12	49.662
349006502	S	2	1	60	T	31	0	N	78	12	49.662
349006502	S	3	1	60	F	56	0	0	78	12	49.662
349006522	S	1	1	21	F	2	68	F	78	12	49.662
349006705	S	1	1	68	F	57	0	0	78	12	138.103
349006705	S	2	1	68	F	68	0	0	78	12	138.103
349006705	S	3	1	68	F	44	0	0	78	12	138.103
349006705	S	4	1	68	N	34	0	N	78	12	138.103
349006784	S	1	1	68	F	2	68	B	78	12	260.223
349006784	S	2	1	68	F	57	0	0	78	12	260.223
349006802	S	1	1	30	F	2	60	B	78	12	49.662
349006823	S	1	1	68	F	88	0	0	78	12	260.223
349006823	S	2	1	68	N	34	0	N	78	12	260.223
349006823	S	3	1	68	T	31	0	N	78	12	260.223
349006982	S	1	1	68	F	72	0	0	78	12	49.662
349007022	S	1	1	20	R	2	60	F	78	12	138.103
349007162	S	1	1	68	F	72	0	0	78	12	138.103
349007162	S	2	1	68	N	34	0	N	78	12	138.103
349007162	S	3	1	68	R	71	0	0	78	12	138.103
350006509	K	1	1	20	F	2	60	F	79	10	6.74
350006509	K	2	1	20	R	2	60	L	79	10	6.74
350006549	S	1	1	15	F	2	68	L	79	10	6.74
350006594	S	1	4	68	F	3	14	B	79	10	12.701
350006594	S	2	3	14	T	31	0	N	79	10	12.701
350006594	S	3	2	15	F	3	14	U	79	10	12.701
350006594	S	4	3	14	F	1	2	R	79	10	12.701
