CaseID	VehicleNumber	EventNumber	PositionNumber	DCType	ObjectContactClass	CDCObjectContact	ForceDirection	ClockForce	OverrideDesc	DeformLocation	DeformLong	DeformVertical	DeformDistribution	DeformExtent	DeformCode	ImpactNumber	DamageLocation	FieldLocation	MaxCrushLocation	CDCCategory	CDCWidth	PSU	PSUStrata	RATWeight
345006748	2	3	1	T	2	31	888	0	1	T	D Distributed - (F+P+B)	D Distributed	O	Three	00TDDO03	3	WHOLE VEHICLE	WHOLE VEHICLE	ROOF	3	200	74	4	34.412
345006868	1	1	1	T	3	50	999	99	1	F	9 Unknown	9 Unknown	9	One	99F99901	3	front unknown	front unknown	unk	2	9999	74	4	34.412
345006868	1	2	1	T	2	31	888	0	1	L	D Distributed - side or end	A Top to Bottom of vehicle / no wheels	O	Five	00LDAO05	2	whole left side and roof	whole left side and roof	roof siderail	1	9999	74	4	34.412
345006868	1	3	1	T	3	56	888	0	1	T	9 Unknown	9 Unknown	9	Unknown	00T99999	1	unk	unk	unk	3	9999	74	4	34.412
345006948	1	1	1	T	1	1	90	3	1	R	Y Side (F + P) OR End (L + C)	E Everything below belt line	W	One	03RYEW01	1	64 CM BEHIND RIGHT FRONT AXLE	92 FRONT OF RIGHT FRONT AXLE	38 BEHIND RIGHT FRONT AXLE	1	156	74	4	34.412
345006948	1	2	1	T	1	1	300	10	1	L	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	One	10LZEW01	2	35 FRONT LEFT REAR AXLE	102 BEHIND LEFT REAR AXLE	24 BEHIND LEFT REAR AXLE	1	9999	74	4	34.412
345006948	1	4	1	T	1	1	40	1	1	F	R Right - front or rear	L Frame -- top of frame,frame, bottom of frame	W	One	01FRLW01	3	43 CM FROM AND INCLUDING RIGHT FRONT BUMPER	WHOLE FRONT BUMPER	RIGHT FRONT BUMPER CORNER	2	43	74	4	34.412
345006948	1	5	1	T	3	54	60	2	1	F	Y Side (F + P) OR End (L + C)	L Frame -- top of frame,frame, bottom of frame	W	One	02FYLW01	4	76 CM FROM LEFT FRONT CORNER	WHOLE FRONT BUMPER	UNK	2	76	74	4	34.412
345006948	1	7	1	T	1	2	150	5	1	B	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	Two	05BZEW02	5	90 cm from right rear bumper corner	whole bumper	30 from right bumper corner	2	90	74	4	34.412
345006948	2	6	1	T	1	2	90	3	1	R	P Side center section L or R	E Everything below belt line	W	One	03RPEW01	2	145 FRONT OF RIGHT REAR AXLE	145 FRONT OF RIGHT REAR AXLE	40 FRONT OF RIGHT REAR AXLE	1	90	74	4	34.412
345006948	2	7	1	T	1	2	350	12	1	F	Z Side (P + B) OR End (C + R)	E Everything below belt line	W	One	12FZEW01	1	90 FROM RIGHT FRONT BUMPER CORNER	WHOLE FRONT BUMPER	RIGHT BUMPER CORNER	2	90	74	4	34.412
345006948	2	8	1	T	3	54	350	12	1	L	P Side center section L or R	E Everything below belt line	S	One	12LPES01	3	LEFT OUTSIDE MIRROR	LEFT OUTSIDE MIRROR	UNK	1	3	74	4	34.412
345006948	3	3	1	T	1	3	10	12	1	R	Y Side (F + P) OR End (L + C)	E Everything below belt line	S	Two	12RYES02	1	right	right	R front	1	9999	74	4	34.412
345006948	3	4	1	T	1	1	0	12	1	F	L Left - front or rear	E Everything below belt line	9	Unknown	12FLE999	2	front	front	F left	2	9999	74	4	34.412
