CaseID	VehicleNumber	LastSleepHours	LastSleepStart	LastSleepEnd	HoursSinceSleep	MainSleepHours	MainSleepStart	MainSleepEnd	HoursDriving	ADSHoursOnDuty	WeekLongest	WeekShortest	WeekAverage	Rotation	HoursWorked	ADSLongestDay	ADSShortestDay	ADSAverageDay	LastWeekHours	LastWeekMoonlight	PSU	PSUStrata	RATWeight
800006228	1	09:00	21:00	06:00	00:21	98:98	98:98	98:98	00:10	00:15	09:00	08:00	08:00	2	00:15	11:15	01:15	07:35	51:45	98:98	2	3	0
800006415	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	08:00	05:00	07:00	2	00:00	10:00	04:00	08:00	99:99	98:98	2	3	145.338
800006415	2	07:00	20:00	03:00	06:58	98:98	98:98	98:98	03:15	04:45	10:00	06:00	08:00	2	04:45	12:00	04:00	10:00	60:00	98:98	2	3	145.338
800006416	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	02:00	02:00	99:99	99:99	99:99	9	02:00	15:00	02:00	08:00	56:15	98:98	2	3	61.96
800006431	1	08:30	21:00	05:30	08:20	98:98	98:98	98:98	99:99	06:20	07:30	07:00	07:30	2	06:20	08:00	05:30	08:00	38:00	98:98	2	3	93.511
800006471	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	2	3	145.338
800006471	2	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	2	3	145.338
800006471	3	99:99	99:99	99:99	99:99	99:99	99:99	99:99	98:98	98:98	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	2	3	145.338
801003829	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	3	1	148.42
801003829	2	08:00	99:99	99:99	99:99	98:98	98:98	98:98	08:00	99:99	99:99	99:99	99:99	2	99:99	10:00	07:00	08:00	50:00	98:98	3	1	148.42
801003890	1	08:00	21:00	05:00	05:00	98:98	98:98	98:98	03:00	03:00	08:00	99:99	99:99	2	03:00	99:99	99:99	99:99	99:99	98:98	3	1	148.42
801005488	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	3	1	63.274
801005488	2	10:00	17:00	03:00	01:49	98:98	98:98	98:98	01:30	01:30	12:00	05:30	09:00	2	01:30	10:00	06:00	08:00	55:00	98:98	3	1	63.274
801005488	3	16:00	00:00	16:00	12:49	98:98	98:98	98:98	99:99	99:99	16:00	10:00	13:00	2	99:99	10:00	10:00	10:00	60:00	98:98	3	1	63.274
801005488	4	08:00	20:00	04:00	00:49	98:98	98:98	98:98	99:99	99:99	07:00	06:00	06:30	2	99:99	10:00	08:00	09:00	48:30	98:98	3	1	63.274
801005489	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	02:00	99:99	99:99	99:99	9	02:00	12:00	08:00	10:00	52:00	98:98	3	1	63.274
801006172	1	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	99:99	9	99:99	99:99	99:99	99:99	99:99	99:99	3	1	63.274
