CaseID	VehicleNumber	Axle	BrakeType	BRAPosition	ABSInstalled	ABSFunctional	AdjustorType	ChamberSize	ChamberType	StrokeType	LeftLength	RightLength	PSU	PSUStrata	RATWeight
331006007	2	4	1	1	99	99	1	20.6	14	2	3.81	3.81	6	1	46.473
331006008	2	1	1	1	0	0	1	16.2	11	2	3.81	3.49	6	1	19.812
331006008	2	2	1	1	0	0	1	20.6	14	2	5.08	4.52	6	1	19.812
331006127	1	1	1	1	99	99	1	18.4	13	2	5.72	4.13	6	1	19.812
331006127	1	2	1	1	99	99	1	20.6	14	2	5.08	5.08	6	1	19.812
331006127	1	3	1	1	99	99	1	20.6	14	2	6.35	6.35	6	1	19.812
331006127	1	4	1	1	99	99	1	20.6	13	2	6.99	6.99	6	1	19.812
331006249	1	1	1	1	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006249	1	2	1	1	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006249	1	3	1	1	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006249	1	4	1	2	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006249	1	5	1	2	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006250	1	1	1	1	0	0	1	17.7	12	2	3.81	3.81	6	1	29.901
331006250	1	2	1	1	0	0	1	20.6	14	2	3.18	2.54	6	1	29.901
331006250	1	3	1	1	0	0	1	20.6	14	2	3.81	3.81	6	1	29.901
331006250	1	4	1	2	0	0	1	20.6	14	2	4.45	4.45	6	1	29.901
331006250	1	5	1	2	0	0	1	20.6	14	2	3.18	3.81	6	1	29.901
331006253	2	1	1	1	1	1	1	17.2	12	2	3.81	3.81	6	1	29.901
331006253	2	2	1	1	1	1	1	20.6	14	2	3.81	3.81	6	1	29.901
331006253	2	3	1	1	1	1	1	20.6	14	2	3.81	4.45	6	1	29.901
331006253	2	4	1	2	0	0	1	20.6	14	2	6.35	6.35	6	1	29.901
331006253	2	5	1	2	0	0	1	20.6	14	2	6.35	6.99	6	1	29.901
331006314	1	1	1	1	99	99	1	17.2	12	2	3.49	4.13	6	1	19.812
331006314	1	2	1	1	99	99	1	20.6	14	2	4.1	3.81	6	1	19.812
331006314	1	3	1	1	99	99	1	20.6	14	2	5.08	3.81	6	1	19.812
331006314	1	4	1	2	99	99	1	20.6	14	2	2.54	2.54	6	1	19.812
331006314	1	5	1	2	99	99	1	20.6	14	2	2.54	2.86	6	1	19.812
331006352	2	1	1	1	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006352	2	2	1	1	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006352	2	3	1	1	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006352	2	4	1	2	99	99	99	9994	99	3	9994	9994	6	1	46.473
331006352	2	5	1	2	99	99	99	9994	99	3	9994	9994	6	1	46.473
332006056	1	1	2	1	99	99	99	8887	88	3	8887	8887	8	2	206.963
332006056	1	2	2	1	99	99	99	8887	88	3	8887	8887	8	2	206.963
332006211	1	1	1	1	99	99	99	9994	99	3	9994	9994	8	2	206.963
332006211	1	2	1	1	99	99	99	9994	99	3	9994	9994	8	2	206.963
